10,1,5,1
1,0,5,1
2,0,5,0
3,1,5,1
3,0,6,1
3,1,5,2
4,0,5,3
5,1,6,4
7,1,6,6
10,1,7,10
15,0,7,16
24,1,8,24
40,1,8,36
63,1,9,62
102,1,9,98
161,1,10,163
265,1,11,262
433,1,11,452
728,1,11,731
1216,0,14,724
1974,1,18,1923
2999,1,16,2753
3001,1,18,3116
4889,1,15,5060
7737,1,15,7600
12840,1,15,12496
20051,1,16,19983
33650,1,16,32259
52559,0,18,50904
83833,1,20,84365
134936,1,54,132497
220117,1,18,217238
356023,1,18,365586
593656,0,19,595126
940232,1,19,924246
1515261,1,20,1512460
2429415,1,19,2463020
3947919,1,20,3949261
6392058,1,21,6356324
10326705,1,21,10345732
